stockname,date,total_asset,total_liability,asset_in_system,liability_in_system,held_for_trading,available_for_sale,deriv_finasset,deriv_finliability
北京银行,20121231,111996892.6,104827821.2,22347718.9,30162496.4,704069.4,9498305.5,3031.7,3285.8
北京银行,20111231,95649867.6,90606515.3,23415487.1,26053628.4,536062.8,8630350.1,2222.5,1953.6
北京银行,20101231,73321050.4,69064362,12910816.8,11085171.5,1671766.8,7838829.7,2659.8,1191.8
北京银行,20091231,53346931.8,49589154.7,6727909.1,3064578,1151570.4,6359586.5,1861.5,851.8
北京银行,20081231,41702101.9,38320738.6,7161061.7,4961121.3,1681130.9,8097905.9,5171.6,2676.2
北京银行,20071231,35422294.1,32755499.6,5358110.6,5192823.4,625485.3,8294593.1,1283.1,5917.8
农业银行,20141231,1597415200,1494153300,148928500,118708500,41466000,92790300,719500,724000
农业银行,20131231,1456210200,1371756500,144338500,93050400,32288200,78131100,818600,763500
农业银行,20121231,1324434200,1249298800,130023300,94170400,17855500,75550300,482500,551400
农业银行,20111231,1167757700,1102778900,87399700,81631500,6805200,65119800,852400,1028400
农业银行,20101231,1033740600,979517000,69859900,62041900,5025700,66850300,917300,1237800
农业银行,20091231,888258800,853966300,53222100,70107300,11217600,73018000,467800,769000
农业银行,20081231,701435100,672381000,35351700,35899300,4001700,80001300,715100,1153400
农业银行,20071231,530550600,603311100,21377800,40038400,1720500,52920300,1020700,729400
交通银行,20141231,626829900,579469400,52503300,132460600,10570200,21001600,1065600,1007400
交通银行,20131231,596093700,553945300,56642900,112069200,5908300,22039700,1422700,1667500
交通银行,20121231,527337900,489193200,52096300,94283900,4568300,20375200,647800,765000
交通银行,20111231,461117700,433838900,44324000,85449900,4283700,18333600,558500,599300
交通银行,20101231,395159300,372793600,26297600,71701200,4131200,16153400,473100,515000
交通银行,20091231,330913700,314471200,22267100,65316100,2688400,13156800,237000,290700
交通银行,20081231,267825500,253261300,33151100,56945300,2228000,14148400,465600,567500
交通银行,20071231,210362600,197482900,15727400,33031400,1700300,14598400,233700,331900
工商银行,20141231,2060995300,1907264900,125123800,192019600,34682800,118828800,2404800,2419100
工商银行,20131231,1891775200,1763928900,104988700,156855900,37255600,100080000,2502000,1916800
工商银行,20121231,1754221700,1641375800,118102900,172456900,22167100,92093900,1475600,1326100
工商银行,20111231,1547686800,1451904500,82743900,154754400,15220800,84010500,1746000,1261700
工商银行,20101231,1345862200,1263696500,51108700,113289000,1298600,90479500,1333200,1056400
工商银行,20091231,1178505300,1110611900,64412700,103769400,2014700,94990900,575800,777300
工商银行,20081231,975765400,915051600,33185600,65090200,3364100,53760000,1572100,1361200
工商银行,20071231,868428800,814003600,27563800,99868200,3432100,53124100,2276900,712700
光大银行,20141231,273701000,255752700,45973100,59570300,437700,13855900,108200,78100
光大银行,20131231,241508600,226203400,36062600,55258500,1249000,11184900,187000,246500
光大银行,20121231,227929500,216497300,41372400,62505100,2945300,9180100,167700,186100
光大银行,20111231,173334560.7,163719597.4,39394948,33859803,2272663.3,5440276.5,226179.3,306248.7
光大银行,20101231,148395034.2,140248764,24714488.4,22810710.5,2239711.7,7714216,302504,296042.6
光大银行,20091231,119769610.7,114957464.7,23093946.3,26899209.9,1040147.4,5461779.9,258457.9,223574.6
光大银行,20081231,85183814,81860605.6,12853985,13175059.2,1266817.1,5766161.6,375883.4,387125.7
光大银行,20071231,73918645.6,71449736.3,8067793.9,12883461.5,750861,4492322.6,161924.8,108274.3
建设银行,20141231,1674413000,1549176700,78873700,138804800,33223500,92617000,1376900,1237300
建设银行,20131231,1536321000,1428888100,75479800,90988500,36405000,76029200,1891000,1987200
建设银行,20121231,1397282800,1302321900,103223600,110010300,2757200,70104100,1267100,1154100
建设银行,20111231,1228183400,1146517300,58583700,105541500,2309600,67505800,1412700,1331000
建设银行,20101231,1081031700,1010941200,32335500,75473100,1734400,69684800,1122400,935800
建设银行,20091231,962335500,906433500,71298600,81290500,1887100,65148000,945600,857500
建设银行,20081231,755545200,708789000,25848000,49143600,5030900,55083800,2129900,1856500
建设银行,20071231,659817700,617589600,22604300,65702800,2981900,42945500,1463200,795200
中国银行,20141231,1525138200,1406795400,113021100,200557700,10452800,75068500,4796700,4073400
中国银行,20131231,1387429900,1291282200,138029400,189088900,7520000,70119600,4082300,3621200
中国银行,20121231,1268061500,1181907300,115039800,186619600,7159000,68640000,4018800,3245700
中国银行,20111231,1183006600,1107417200,114749700,163678100,7380700,55331800,4275700,3547300
中国银行,20101231,1045986500,978371500,80062000,150661500,8123700,65673800,3997400,3571100
中国银行,20091231,875194300,820654900,68311000,109080900,6189700,62230700,2851400,2322300
中国银行,20081231,695569400,646179300,67114000,80244900,8781400,75260200,7612400,5948200
中国银行,20071231,599555300,554056000,45786900,32484800,12466500,68299500,4583900,2726200
中信银行,20141231,413881500,387146900,29793600,74954900,2750900,20940400,822600,734700
中信银行,20131231,364119300,341046800,54079200,60956800,1101800,17782900,774900,685300
中信银行,20121231,295993900,275685300,45747600,39973400,1228500,19671700,416000,341200
中信银行,20111231,276588100,258710000,69975000,55002800,819000,13438700,468300,376400
中信银行,20101231,208131400,195677600,27822000,15311600,285500,13697600,447800,412600
中信银行,20091231,177503100,166802300,26701100,28370200,444900,9423100,318200,362800
中信银行,20081231,118783700,109249100,10814400,11052500,775500,8520300,535700,557900
中信银行,20071231,101123600,92709500,14470100,11300200,650000,4384300,204900,191400
